,Amount,Property Size (sq.m),No. of Buyer,No. of Seller,Transaction Type_Gifts,Transaction Type_Mortgage,Transaction Type_Sales,Registration type_Off-Plan,Registration type_Ready,Is Free Hold?_Free Hold,Is Free Hold?_Non Free Hold,Usage_Residential,Area_AL BARARI,Area_AL FURJAN,Area_AL KHAIL HEIGHTS,Area_AL WAHA,Area_ARABIAN RANCHES I,Area_ARABIAN RANCHES II,Area_ARABIAN RANCHES III,Area_ARJAN,Area_Al Barsha First,Area_Al Barshaa South Third,Area_Al Hebiah Fourth,Area_Al Hebiah Sixth,Area_Al Kheeran,Area_Al Kifaf,Area_Al Qusais Industrial Fourth,Area_Al Thanyah Third,Area_Al Wasl,Area_Al Yelayiss 1,Area_Al Yelayiss 2,Area_Al Yufrah 1,Area_BARSHA HEIGHTS,Area_BLUEWATERS,Area_BURJ KHALIFA,Area_BUSINESS BAY,Area_Business Bay,Area_CHERRYWOODS,Area_CITY OF ARABIA,Area_CITY WALK,Area_DAMAC HILLS,Area_DISCOVERY GARDENS,Area_DMCC-EZ2,Area_DOWN TOWN JABAL ALI,Area_DUBAI CREEK HARBOUR,Area_DUBAI DESIGN DISTRICT,Area_DUBAI GOLF CITY,Area_DUBAI HARBOUR,Area_DUBAI HEALTHCARE CITY - PHASE 1,Area_DUBAI HEALTHCARE CITY - PHASE 2,Area_DUBAI HILLS,Area_DUBAI INDUSTRIAL CITY,Area_DUBAI INVESTMENT PARK FIRST,Area_DUBAI INVESTMENT PARK SECOND,Area_DUBAI LAND RESIDENCE COMPLEX,Area_DUBAI MARINA,Area_DUBAI MARITIME CITY,Area_DUBAI PRODUCTION CITY,Area_DUBAI SCIENCE PARK,Area_DUBAI SOUTH,Area_DUBAI SPORTS CITY,Area_DUBAI STUDIO CITY,Area_DUBAI WATER CANAL,Area_DUBAI WATER FRONT,Area_Dubai Investment Park First,Area_EMAAR SOUTH,Area_EMIRATE LIVING,Area_GRAND VIEWS,Area_Hadaeq Sheikh Mohammed Bin Rashid,Area_INTERNATIONAL CITY PH 1,Area_INTERNATIONAL CITY PH 2 & 3,Area_Island 2,Area_JADDAF WATERFRONT,Area_JUMEIRA BAY,Area_JUMEIRAH BEACH RESIDENCE,Area_JUMEIRAH GOLF,Area_JUMEIRAH HEIGHTS,Area_JUMEIRAH LAKES TOWERS,Area_JUMEIRAH LIVING,Area_JUMEIRAH VILLAGE CIRCLE,Area_JUMEIRAH VILLAGE TRIANGLE,Area_Jabal Ali First,Area_Jumeirah First,Area_Jumeirah Second,Area_LA MER,Area_LIVING LEGENDS,Area_LIWAN,Area_MAJAN,Area_MARSA AL ARAB,Area_MBR DISTRICT 1,Area_MBR DISTRICT 7,Area_MEYDAN AVENUE,Area_MEYDAN ONE,Area_MINA RASHID,Area_MIRA,Area_MOTOR CITY,Area_MUDON,Area_Madinat Al Mataar,Area_Madinat Dubai Almelaheyah,Area_Madinat Hind 4,Area_Marsa Dubai,Area_Me'Aisem First,Area_Mirdif,Area_Muhaisanah First,Area_Nad Al Shiba First,Area_PALM JUMEIRAH,Area_PEARL JUMEIRA,Area_Port Saeed,Area_REMRAAM,Area_RUKAN,Area_Rega Al Buteen,Area_SERENA,Area_SILICON OASIS,Area_SOBHA HEARTLAND,Area_SUFOUH GARDENS,Area_SUSTAINABLE CITY,Area_TECOM SITE A,Area_THE FIELD,Area_THE GREENS,Area_THE LAKES,Area_THE VALLEY,Area_THE WORLD,Area_TILAL AL GHAF,Area_TOWN SQUARE,Area_Trade Center First,Area_Trade Center Second,Area_Um Suqaim Third,Area_VILLANOVA,Area_Wadi Al Safa 2,Area_Wadi Al Safa 3,Area_Wadi Al Safa 4,Area_Wadi Al Safa 5,Area_Wadi Al Safa 7,Area_Warsan First,Area_Zaabeel First,Area_Zaabeel Second,Property Type_Building,Property Type_Unit,Room(s)_1 B/R,Room(s)_2 B/R,Room(s)_3 B/R,Room(s)_4 B/R,Room(s)_5 B/R,Room(s)_6 B/R,Room(s)_7 B/R,Room(s)_9 B/R,Room(s)_GYM,Room(s)_Hotel,Room(s)_Office,Room(s)_PENTHOUSE,Room(s)_Shop,Room(s)_Single Room,Room(s)_Studio
3033,729315.9,77.18,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2885,3450000.0,392.0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14846,475000.0,33.8,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37493,1286000.0,85.01,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22323,1900000.0,131.4,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28042,4131720.0,77.99,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2197,795000.0,67.41,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20603,2058213.0,101.03,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71990,1134375.0,105.45,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1511,2451449.0,118.31,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
